# darwin-4 canonical CPU baselines — the QUIET host (aarch64-darwin-4.lan, load ~1.1).
# min-of-5, cache-off (NIX_V3_NO_DISK_CACHE=1), user CPU seconds, byte-identical drvPaths.
# THE MEASUREMENT OF RECORD for CPU. The laptop is UNUSABLE for CPU levers: its
# ~5-10% noise floor exceeds the 3% keep-bar (proven 2026-06-19 — the attr-select
# IC measured −8% on the laptop at min-of-3 and REVERSED to +6% at min-of-5; on
# darwin-4 it is exactly 0.0%). All CPU grading MUST run here.
#
# CONVENTION (2026-06-20): every row is STAMPED with the commit it was measured
# at (last column) + the date.  Re-measure + re-stamp after any change that could
# move the eval hot path; a row whose `commit` is an ancestor of HEAD is STALE.
# The same numbers are also attached to the tested commit as a `git notes`
# (refs/notes/commits) entry — see `git notes show <commit>`.
#
# Key finding: the true v3-vs-TW gap is ~4.4-5.5× (LARGER + more uniform than the
# laptop's noisy 3.44×), byte-identical, and lives in the CORE EVAL LOOP
# (forceValue #1 leaf + callClosure + dispatchLoop) — systemic interpreter cost,
# not a hot-spot. See lode/V3_VS_TW_STRUCTURAL_ANALYSIS_2026-06-19.md.
#
# nixpkgs on darwin-4: hello-2.12.3, git-2.50.1, firefox-146.0.1; absolute times
# are darwin-4-specific — use for v3-vs-v3 A/Bs + the ratio, not cross-host compare.
# arena = NIX_V3_DIRECT_EVAL=1 NIX_VM_STATS=1 v3_arena MB (1 run; deterministic).
#
# 20758fad5 = colleague's env-sharing+interning+mapAttrs/force stack (default-on)
#   + this session's #60-66 (POS-3 fix, evac dedup, docs).  vs the 3ff650587 base
#   (pre-stack): CPU-NEUTRAL — hello 4.73 (=), git 4.42→4.45, firefox 5.45→5.50
#   (both within darwin-4 noise) → the whole stack did NOT regress raw eval CPU.
#
# row	v3_cpu	tw_cpu	ratio	arena_MB	impure	cache	commit	date
# PINNED nixpkgs (7e6cc3534, test/nixpkgs-pin.sh = flake.lock rev e764fc9a):
# hello/git/firefox rows below are now the pinned workloads (hello-2.12.2 /
# git-2.51.2 / firefox-148.0), memo-on (L1 55ba50216) — reproducible on ANY host
# (no more channel drift; firefox was 5.50/5.00/3.62 by channel version).
# These SUPERSEDE the channel-measured rows; absolute numbers differ because the
# package versions differ (e.g. firefox-148.0 evals cheaper than channel 146.0.1).
hello	1.21	0.27	4.48	83.9	yes	off	7e6cc3534	2026-06-22
git	1.41	0.34	4.15	117.4	yes	off	7e6cc3534	2026-06-22
firefox	2.64	0.73	3.62	352.3	yes	off	7e6cc3534	2026-06-22
# big-workload rows (IFD built locally on aarch64-darwin; min-of-3 for M5 cost,
# min-of-5 for HNE). peak_rss: M5 3122MB (thunks 637MB dominant), HNE ~2055MB.
# RATIO TIGHTENS WITH SCALE: small ~4.4-5.5x -> HNE 4.92x (453MB) -> M5 3.18x (1543MB).
HNE	6.81	1.54	4.42	453.0	yes	off	55ba50216	2026-06-21
M5	10.86	3.57	3.04	1543.5	yes	off	55ba50216	2026-06-21
# WARM (cache-on, production) rows — the disk cache amortizes parse+lower, so
# these are the STEADY-STATE dev-loop CPU.  ~1/3-1/2 of the cache-off gap is the
# amortizable lowering tax.  cache=warm.  THE PRODUCTION METRIC (track alongside
# cache-off which stays the correctness/cold oracle).  Pinned nixpkgs, memo-on.
hello	0.53	0.27	1.96	83.9	yes	warm	7e6cc3534	2026-06-22
git	0.71	0.34	2.09	117.4	yes	warm	7e6cc3534	2026-06-22
firefox	1.78	0.73	2.44	352.3	yes	warm	7e6cc3534	2026-06-22
HNE	2.66	1.54	1.73	453.0	yes	warm	7e6cc3534	2026-06-22
M5	6.45	3.60	1.79	1543.5	yes	warm	7e6cc3534	2026-06-22
# ============================================================================
# P0.4 RE-BASELINE (2026-07-02, commit 2d7efdb97) — AUTHORITATIVE post-WS-0
# de-instrumentation baseline (v3_release=false, the shipped config).  These
# SUPERSEDE the 7e6cc3534 firefox/M5 rows above.  Measured by beat-tw-compare.sh
# (median-of-5, back-to-back TW-vs-v3).  NB: the 5th column here is peak_RSS MB
# (NOT arena — beat-tw-compare skips NIX_VM_STATS to avoid its teardown-GC RSS
# perturbation).  P0.1a (primop-counter gating) shaved a small slice off the
# DEFAULT build: firefox warm 2.49->2.43x, cold 3.68->3.62x; M5 cold v3
# 11.10->10.96s.  The larger P0.1b/c de-instrumentation win needs
# -Dv3_release=true (see the P0.2 A/B rows below).
# row	v3_cpu	tw_cpu	ratio	peakRSS_MB	impure	cache	commit	date
firefox	2.68	0.74	3.62	677	yes	off	2d7efdb97	2026-07-02
