# PLAN_BEAT_TW_V2 — cumulative RSS ledger (FP-0, 2026-06-14)
#
# WHY THIS FILE EXISTS: the original per-lever −80 MB SHIP/KEEP floor was
# mis-shaped. v3's memory excess is a DISTRIBUTED per-object tax (thunk 40 B
# header + 8 B/upvalue, ValuePair 32 B) + churn + 224 MB stranded dead — not one
# removable structure. A distributed tax yields 15-40 MB levers BY CONSTRUCTION,
# so a −80 MB single-lever bar rejects correct wins (it shelved L1, a validated
# −33 MB win). New policy: a lever SHIPS/KEEPS if it is byte-identical to TW AND
# CPU-neutral-or-better; its arena delta banks toward a per-release CUMULATIVE
# target, however small. See lode/MEMORY_FORWARD_PLAN_2026-06-14.md.
#
# RELATION TO seven-rows.tsv: that TSV is the per-row REGRESSION guard (never get
# worse). THIS file is the bank-progress ledger (track the sum of banked wins vs
# an origin). Distinct roles; both checked in.
#
# arena = NIX_VM_STATS v3_arena MB on the darwin laptop (deterministic RSS proxy;
# maxRSS is laptop-noise per QG-2). origin_mb = the pre-lever arena; current_mb =
# the post-lever arena; saved_mb = origin − current. Each lever row also names
# the validation (byte-identity scope + CPU verdict).
#
# Per-release cumulative TARGET (firefox arena, the canonical RSS workload):
#   origin (pre-FP) 503.3 MB  →  stacking goal ≈ 60-90 MB off the live tax
#   (L1 −33 + header −16 + pair −16), THEN the nursery attacks the 224 MB dead.
#
# workload	lever	origin_mb	current_mb	saved_mb	cumulative_saved_mb	validation
firefox	__origin__	503.3	503.3	0.0	0.0	pre-FP baseline (Wave-1 ships, L1 off)
firefox	FP-1 L1 chain-SELECT default-on	503.3	469.8	33.5	33.5	06-07 5/5 + core 21/21 + lang 143 byte-identical; CPU-neutral (laptop 469.8 vs 503.3, darwin-4 −33.6/−29 maxRSS)
firefox	FP-2a drop suspended.cu (hdr 40→32)	469.8	469.8	0.0	33.5	byte-identical (canary 5/5, core 21/21); arena PEAK unmoved (even-nUp half, masked)
firefox	FP-2b capturedWiths→FAM tail (hdr 32→24)	469.8	453.0	16.8	50.3	byte-identical (canary 5/5, core 21/21, drvPath identical incl. under nursery); the nUp=1 bucket crossed the 16B boundary → firefox peak moved after all
# M5/cardano-node — the FP-2 target (large resident closure; peak IS thunk-bound)
M5	__origin__	2147.5	2147.5	0.0	0.0	seven-rows pin (pre-FP)
M5	FP-1 + FP-2a (combined; not split)	2147.5	2013.3	134.2	134.2	arena −134 ≈ FP-2a's 128 MB even-nUp projection (17.1M thunks, 97.1% null-withs) → M5 peak responds to thunk-header size
M5	FP-2b capturedWiths→FAM tail (hdr 32→24)	2013.3	1862.3	151.0	285.2	beats the 141 MB projection; name byte-identical incl. under nursery; --brute unchanged (pre-existing PhD-6). COMBINED FP-1+FP-2a+FP-2b M5 = 2147.5→1862.3 = −285 MB
# next: FP-3 ValuePair 32B (proj firefox ~−16; reconcile vs retired 24/32 split first)
# then: FP-4 generational nursery attacks the 224 MB stranded dead (Layer C)
